time_band,groups_served,groups_rejected
10:20 - 10:30,1,0
10:30 - 10:40,1,0
10:40 - 10:50,3,0
10:50 - 11:00,6,0
11:00 - 11:10,14,0
11:10 - 11:20,15,0
11:20 - 11:30,14,4
11:30 - 11:40,11,12
11:40 - 11:50,10,9
11:50 - 12:00,12,1
12:00 - 12:10,8,0
12:10 - 12:20,6,0
12:20 - 12:30,9,0
12:30 - 12:40,10,0
12:40 - 12:50,14,0
12:50 - 13:00,15,0
13:00 - 13:10,19,9
13:10 - 13:20,12,13
13:20 - 13:30,11,22
13:30 - 13:40,5,25
13:40 - 13:50,12,15
13:50 - 14:00,9,13
14:00 - 14:10,10,6
14:10 - 14:20,8,0
14:20 - 14:30,6,0
14:30 - 14:40,4,0
14:40 - 14:50,5,0
14:50 - 15:00,8,0
15:00 - 15:10,7,0
15:10 - 15:20,11,0
15:20 - 15:30,11,0
15:30 - 15:40,13,0
15:40 - 15:50,19,0
15:50 - 16:00,16,0
16:00 - 16:10,13,3
16:10 - 16:20,8,4
16:30 - 16:40,8,2
16:20 - 16:30,12,0
16:50 - 17:00,11,2
16:40 - 16:50,9,0
17:00 - 17:10,13,0
17:20 - 17:30,10,6
17:10 - 17:20,11,0
17:30 - 17:40,9,4
17:40 - 17:50,12,0
17:50 - 18:00,11,0
18:00 - 18:10,5,0
18:10 - 18:20,6,0
18:20 - 18:30,3,0
18:30 - 18:40,2,0
18:40 - 18:50,1,0
19:00 - 19:10,1,0
